Age,Height,Weight,FCVC,NCP,CH2O,FAF,TUE,Gender,family_history_with_overweight,FAVC,CAEC,SMOKE,SCC,CALC,MTRANS,Cluster,Weight_Category
21,1.66,62.0,2,3,2,1.0,1.0,Male,yes,yes,Sometimes,yes,no,Frequently,Public_Transportation,1,Normal
21,1.81,80.0,1,3,2,2.0,0.0,Male,yes,yes,no,no,no,no,Public_Transportation,2,Overweight
21,1.53,65.0,2,3,1,0.0,1.0,Male,yes,yes,Sometimes,no,no,no,Public_Transportation,1,Normal
21,1.82,72.0,1,3,3,2.0,0.0,Male,yes,yes,Frequently,no,no,Sometimes,Public_Transportation,2,Overweight
21,1.75,72.0,1,3,3,2.0,0.0,Male,yes,yes,Frequently,no,no,Sometimes,Public_Transportation,2,Overweight
20,1.66,60.0,3,3,2,1.0,0.0,Male,yes,yes,Sometimes,no,no,Sometimes,Walking,1,Normal
21,1.55,50.0,2,3,2,0.0,0.0,Male,yes,yes,Sometimes,no,no,Sometimes,Public_Transportation,1,Normal
21,1.61,54.5,3,3,3,0.0,1.0,Male,yes,yes,Sometimes,no,no,Sometimes,Walking,1,Normal
20,1.5,44.0,2,3,1,0.0,0.0,Male,yes,yes,Sometimes,no,no,Sometimes,Public_Transportation,1,Underweight
23,1.64,52.0,3,1,2,2.0,2.0,Male,yes,yes,Sometimes,no,no,no,Public_Transportation,1,Normal
23,1.63,55.0,3,3,2,2.0,1.0,Male,yes,yes,no,no,yes,no,Public_Transportation,1,Normal
22,1.6,55.0,3,4,3,2.0,0.0,Male,yes,yes,Sometimes,no,no,no,Public_Transportation,2,Normal
23,1.68,62.0,2,4,2,0.0,0.0,Male,yes,yes,Frequently,no,no,Sometimes,Public_Transportation,1,Normal
22,1.7,70.0,2,3,1,0.0,1.0,Male,yes,yes,Sometimes,no,no,Sometimes,Public_Transportation,1,Overweight
21,1.64,65.0,2,3,1,0.0,1.0,Male,yes,yes,Sometimes,no,no,no,Public_Transportation,1,Normal
17,1.65,67.0,3,1,2,1.0,1.0,Male,yes,yes,Sometimes,no,no,no,Walking,1,Normal
20,1.76,55.0,2,4,3,2.0,2.0,Male,yes,yes,Sometimes,no,no,no,Public_Transportation,2,Normal
21,1.55,49.0,2,3,3,3.0,1.0,Male,yes,yes,Sometimes,no,no,Sometimes,Public_Transportation,1,Underweight
20,1.65,58.0,2,3,2,3.0,1.0,Male,yes,yes,Sometimes,no,no,Sometimes,Public_Transportation,2,Normal
22,1.67,62.0,2,1,2,0.0,0.0,Male,yes,yes,no,no,no,Sometimes,Public_Transportation,1,Normal
22,1.68,55.0,2,3,2,0.0,2.0,Male,yes,yes,Sometimes,no,no,Sometimes,Public_Transportation,1,Normal
21,1.66,57.0,2,3,1,1.0,1.0,Male,yes,yes,Frequently,no,no,no,Public_Transportation,1,Normal
21,1.62,69.0,1,3,2,0.0,1.0,Male,yes,yes,Frequently,no,no,no,Public_Transportation,1,Normal
23,1.8,90.0,1,3,2,0.0,2.0,Male,yes,yes,Sometimes,no,no,Frequently,Public_Transportation,2,Obese
23,1.65,95.0,2,3,2,0.0,1.0,Male,yes,yes,Sometimes,no,no,Frequently,Public_Transportation,0,Obese
30,1.76,112.0,1,3,2,0.0,0.0,Male,yes,yes,no,yes,yes,Frequently,Public_Transportation,0,Obese
23,1.8,60.0,2,3,3,0.0,1.0,Male,yes,yes,no,no,no,Sometimes,Public_Transportation,2,Normal
23,1.65,80.0,2,3,2,0.0,2.0,Male,yes,yes,Sometimes,no,no,no,Public_Transportation,1,Overweight
22,1.67,50.0,3,3,3,2.0,1.0,Male,yes,yes,no,no,yes,Sometimes,Public_Transportation,2,Normal
24,1.65,60.0,2,3,3,1.0,0.0,Male,yes,yes,Sometimes,no,yes,no,Public_Transportation,1,Normal
19,1.85,65.0,2,3,3,2.0,1.0,Male,yes,yes,Sometimes,no,no,Sometimes,Bike,2,Normal
24,1.7,85.0,2,3,3,0.0,1.0,Male,yes,yes,Frequently,no,no,Frequently,Public_Transportation,2,Overweight
23,1.63,45.0,3,3,3,2.0,0.0,Male,yes,yes,Sometimes,no,yes,no,Public_Transportation,1,Underweight
24,1.6,45.0,2,3,2,1.0,0.0,Male,yes,yes,no,no,no,no,Public_Transportation,1,Underweight
24,1.7,80.0,2,3,3,0.0,0.0,Male,yes,yes,Sometimes,no,no,no,Public_Transportation,2,Overweight
23,1.65,90.0,2,3,3,0.0,1.0,Male,yes,yes,Sometimes,no,no,no,Public_Transportation,2,Obese
23,1.65,60.0,2,3,2,0.0,0.0,Male,yes,yes,Sometimes,no,no,Sometimes,Public_Transportation,1,Normal
19,1.63,58.0,3,3,2,0.0,0.0,Male,yes,yes,Sometimes,no,yes,no,Public_Transportation,1,Normal
30,1.8,91.0,2,3,2,0.0,0.0,Male,yes,yes,Frequently,no,no,Sometimes,Public_Transportation,0,Obese
23,1.67,85.5,2,3,2,0.0,1.0,Male,yes,yes,Sometimes,no,no,no,Public_Transportation,1,Overweight
19,1.6,45.0,3,3,3,2.0,0.0,Male,yes,yes,no,no,yes,no,Walking,1,Underweight
25,1.7,83.0,2,3,2,0.0,1.0,Male,yes,yes,Frequently,no,no,Sometimes,Public_Transportation,0,Overweight
23,1.65,58.5,2,3,2,0.0,0.0,Male,yes,yes,Sometimes,no,no,no,Public_Transportation,1,Normal
21,1.85,83.0,2,1,3,1.0,0.0,Male,yes,yes,Frequently,no,no,no,Public_Transportation,2,Overweight
19,1.82,87.0,2,3,2,0.0,0.0,Male,yes,yes,Sometimes,no,no,no,Public_Transportation,2,Overweight
22,1.65,65.0,2,3,2,1.0,0.0,Male,yes,yes,Frequently,no,yes,no,Public_Transportation,1,Normal
29,1.7,78.0,3,3,1,2.0,1.0,Male,yes,yes,Sometimes,no,no,Frequently,Public_Transportation,0,Overweight
25,1.63,93.0,3,4,1,2.0,0.0,Male,yes,yes,Sometimes,no,no,no,Public_Transportation,0,Obese
20,1.61,64.0,3,3,2,0.0,1.0,Male,yes,yes,Sometimes,no,yes,Frequently,Public_Transportation,1,Normal
21,1.78,84.0,3,4,3,3.0,0.0,Male,yes,yes,Frequently,no,yes,Frequently,Walking,2,Overweight
20,1.6,57.0,3,3,2,1.0,0.0,Male,yes,yes,Sometimes,no,no,no,Walking,1,Normal
24,1.6,48.0,3,3,2,2.0,0.0,Male,yes,yes,Sometimes,no,no,no,Public_Transportation,1,Underweight
26,1.7,70.0,3,1,2,2.0,0.0,Male,yes,yes,Frequently,no,no,Frequently,Public_Transportation,0,Overweight
23,1.66,60.0,2,3,2,3.0,0.0,Male,yes,yes,Sometimes,no,no,Sometimes,Public_Transportation,2,Normal
21,1.52,42.0,3,1,1,0.0,0.0,Male,yes,yes,Frequently,no,no,Sometimes,Public_Transportation,1,Underweight
23,1.72,70.0,2,3,2,3.0,1.0,Male,yes,yes,Sometimes,no,no,Frequently,Public_Transportation,2,Overweight
21,1.69,63.0,3,1,1,0.0,0.0,Male,yes,yes,Sometimes,no,no,Sometimes,Public_Transportation,1,Normal
22,1.7,66.4,2,3,2,0.0,0.0,Male,yes,yes,Frequently,no,no,no,Public_Transportation,1,Normal
21,1.55,57.0,2,4,2,2.0,0.0,Male,yes,yes,Frequently,no,yes,Sometimes,Public_Transportation,1,Normal
22,1.65,58.0,3,4,2,1.0,0.0,Male,yes,yes,Frequently,no,no,Sometimes,Public_Transportation,1,Normal
38,1.56,80.0,2,3,2,0.0,0.0,Male,yes,yes,Sometimes,no,no,Sometimes,Public_Transportation,0,Overweight
25,1.57,55.0,2,1,2,2.0,0.0,Male,yes,yes,Sometimes,no,no,Sometimes,Public_Transportation,1,Normal
22,1.88,90.0,2,3,1,0.0,1.0,Male,yes,yes,Sometimes,no,no,Sometimes,Public_Transportation,2,Obese
22,1.75,95.0,2,3,3,3.0,2.0,Male,yes,yes,Sometimes,no,no,no,Walking,2,Obese
21,1.65,88.0,3,1,3,2.0,1.0,Male,yes,yes,Sometimes,no,no,no,Public_Transportation,2,Overweight
21,1.75,75.0,3,3,2,0.0,1.0,Male,yes,yes,Sometimes,no,no,Sometimes,Public_Transportation,2,Overweight
22,1.58,58.0,2,1,1,0.0,0.0,Male,yes,yes,Sometimes,no,no,no,Public_Transportation,1,Normal
18,1.56,51.0,2,4,2,1.0,0.0,Male,yes,yes,Frequently,no,no,Sometimes,Public_Transportation,1,Normal
22,1.5,49.0,2,1,2,3.0,0.0,Male,yes,yes,Sometimes,no,no,no,Walking,1,Underweight
19,1.61,62.0,3,1,2,1.0,0.0,Male,yes,yes,Frequently,no,no,Frequently,Public_Transportation,1,Normal
17,1.75,57.0,3,3,2,0.0,1.0,Male,yes,yes,Frequently,no,no,no,Public_Transportation,1,Normal
15,1.65,86.0,3,3,1,3.0,2.0,Male,yes,yes,Sometimes,no,no,no,Walking,2,Overweight
17,1.7,85.0,2,3,2,1.0,1.0,Male,yes,yes,Frequently,no,no,no,Public_Transportation,2,Overweight
23,1.62,53.0,2,3,2,1.0,1.0,Male,yes,yes,Sometimes,no,no,Sometimes,Public_Transportation,1,Normal
19,1.63,76.0,3,3,3,2.0,1.0,Male,yes,yes,Frequently,yes,no,Sometimes,Public_Transportation,2,Overweight
23,1.67,75.0,2,3,2,0.0,2.0,Male,yes,yes,Frequently,yes,no,no,Walking,1,Overweight
23,1.87,95.0,1,3,2,0.0,2.0,Male,yes,yes,Frequently,no,no,Frequently,Public_Transportation,2,Obese
21,1.75,50.0,3,4,1,1.0,0.0,Male,yes,yes,Frequently,no,no,no,Walking,1,Normal
24,1.66,67.0,3,1,2,1.0,0.0,Male,yes,yes,Sometimes,no,no,no,Public_Transportation,1,Normal
23,1.76,90.0,3,3,1,0.0,0.0,Male,yes,yes,Sometimes,no,no,no,Public_Transportation,0,Obese
18,1.75,80.0,2,3,2,0.0,0.0,Male,yes,yes,Sometimes,no,no,Frequently,Public_Transportation,2,Overweight
19,1.67,68.0,2,3,2,1.0,0.0,Male,yes,yes,Sometimes,no,no,Sometimes,Public_Transportation,1,Normal
19,1.65,61.0,3,1,3,1.0,0.0,Male,yes,yes,Sometimes,no,yes,Sometimes,Public_Transportation,1,Normal
20,1.72,70.0,3,3,1,0.0,0.0,Male,yes,yes,Frequently,no,no,Sometimes,Public_Transportation,1,Overweight
27,1.7,78.0,3,3,3,1.0,1.0,Male,yes,yes,Sometimes,no,no,Frequently,Public_Transportation,2,Overweight
20,1.58,53.0,2,4,2,1.0,1.0,Male,yes,yes,Frequently,no,no,no,Public_Transportation,1,Normal
23,1.62,58.0,2,3,1,1.0,0.0,Male,yes,yes,Sometimes,no,no,no,Public_Transportation,1,Normal
19,1.65,56.0,3,3,3,1.0,2.0,Male,yes,yes,Frequently,yes,yes,Frequently,Public_Transportation,2,Normal
21,1.65,66.0,3,3,2,1.0,1.0,Male,yes,yes,Sometimes,no,no,Frequently,Public_Transportation,1,Normal
30,1.77,109.0,3,3,1,2.0,0.0,Male,yes,yes,Sometimes,no,no,Sometimes,Public_Transportation,0,Obese
24,1.7,75.0,2,3,2,1.0,0.0,Male,yes,yes,Sometimes,no,no,Sometimes,Public_Transportation,2,Overweight
25,1.79,72.0,2,3,2,1.0,1.0,Male,yes,yes,Sometimes,no,no,Sometimes,Public_Transportation,2,Overweight
21,1.6,80.0,2,3,3,0.0,0.0,Male,yes,yes,Sometimes,yes,no,no,Motorbike,1,Overweight
31,1.76,75.0,3,3,3,3.0,0.0,Male,yes,yes,Sometimes,no,yes,no,Bike,2,Overweight
25,1.7,68.0,2,3,2,0.0,1.0,Male,yes,yes,Frequently,no,no,no,Public_Transportation,1,Normal
23,1.89,65.0,3,3,3,1.0,1.0,Male,yes,yes,Frequently,no,no,Sometimes,Public_Transportation,2,Normal
25,1.87,66.0,3,3,2,2.0,0.0,Male,yes,yes,Sometimes,no,no,Frequently,Public_Transportation,2,Normal
23,1.74,93.5,2,3,1,1.0,1.0,Male,yes,yes,Frequently,yes,no,Frequently,Public_Transportation,2,Obese
34,1.68,75.0,3,1,1,0.0,0.0,Male,yes,yes,Sometimes,no,no,Sometimes,Public_Transportation,0,Overweight
22,1.61,67.0,2,4,3,2.0,2.0,Male,yes,yes,Sometimes,no,yes,Sometimes,Public_Transportation,2,Normal
21,1.62,70.0,2,1,3,1.0,0.0,Male,yes,yes,no,no,no,Sometimes,Public_Transportation,1,Overweight
24,1.56,51.0,3,3,2,2.0,2.0,Male,yes,yes,Frequently,no,no,Frequently,Public_Transportation,1,Normal
36,1.63,80.0,3,3,1,0.0,0.0,Male,yes,yes,Sometimes,no,no,Sometimes,Public_Transportation,0,Overweight
27,1.6,61.0,3,3,2,0.0,0.0,Male,yes,yes,Sometimes,no,no,Sometimes,Public_Transportation,1,Normal
32,1.67,90.0,3,1,2,2.0,0.0,Male,yes,yes,Sometimes,no,no,Sometimes,Public_Transportation,0,Obese
25,1.78,78.0,2,1,2,2.0,1.0,Male,yes,yes,Sometimes,no,no,Sometimes,Public_Transportation,2,Overweight
30,1.62,59.0,3,3,2,2.0,0.0,Male,yes,yes,Sometimes,no,no,Sometimes,Public_Transportation,0,Normal
38,1.5,60.0,2,1,2,0.0,0.0,Male,yes,yes,Sometimes,yes,no,Sometimes,Public_Transportation,0,Normal
34,1.69,84.0,2,3,3,2.0,0.0,Male,yes,yes,Sometimes,no,no,no,Public_Transportation,0,Overweight
22,1.74,94.0,2,3,2,0.0,0.0,Male,yes,yes,Sometimes,no,no,Sometimes,Public_Transportation,0,Obese
31,1.68,63.0,3,1,2,1.0,1.0,Male,yes,yes,Frequently,no,no,Sometimes,Public_Transportation,0,Normal
35,1.53,45.0,3,3,1,0.0,1.0,Male,yes,yes,Frequently,no,no,no,Public_Transportation,1,Underweight
21,1.67,60.0,2,3,2,2.0,1.0,Male,yes,yes,Frequently,no,no,Sometimes,Public_Transportation,1,Normal
40,1.55,62.0,3,3,3,0.0,0.0,Male,yes,yes,Sometimes,no,no,Sometimes,Public_Transportation,0,Normal
27,1.64,78.0,2,1,2,0.0,0.0,Male,yes,yes,Sometimes,no,no,Frequently,Public_Transportation,0,Overweight
20,1.83,72.0,3,3,1,2.0,1.0,Male,yes,yes,Sometimes,yes,no,Sometimes,Public_Transportation,2,Overweight
21,1.65,80.0,2,3,2,1.0,0.0,Male,yes,yes,Sometimes,no,no,no,Public_Transportation,1,Overweight
21,1.63,60.0,3,3,2,2.0,0.0,Male,yes,yes,Sometimes,yes,no,Sometimes,Public_Transportation,1,Normal
25,1.89,75.0,3,3,2,3.0,0.0,Male,yes,yes,Frequently,no,yes,no,Public_Transportation,2,Overweight
35,1.77,85.0,3,3,3,2.0,1.0,Male,yes,yes,Frequently,no,no,Sometimes,Public_Transportation,0,Overweight
30,1.92,67.0,2,3,1,1.0,0.0,Male,yes,yes,Sometimes,yes,no,Sometimes,Public_Transportation,0,Normal
29,1.74,72.0,3,3,2,0.0,0.0,Male,yes,yes,Sometimes,no,no,Sometimes,Public_Transportation,0,Overweight
20,1.65,80.0,2,3,2,1.0,2.0,Male,yes,yes,Sometimes,no,no,no,Walking,2,Overweight
22,1.73,79.0,2,1,2,1.0,0.0,Male,yes,yes,Sometimes,no,no,Sometimes,Public_Transportation,0,Overweight
21,1.63,77.0,2,3,1,0.0,0.0,Male,yes,yes,Frequently,no,no,no,Public_Transportation,1,Overweight
22,1.72,82.0,2,1,2,2.0,1.0,Male,yes,yes,Sometimes,no,no,Sometimes,Public_Transportation,2,Overweight
18,1.6,58.0,2,3,2,1.0,0.0,Male,yes,yes,Frequently,no,no,Sometimes,Public_Transportation,1,Normal
23,1.65,59.0,3,1,2,1.0,2.0,Male,yes,yes,Sometimes,no,no,Sometimes,Public_Transportation,1,Normal
18,1.74,64.0,3,3,2,0.0,1.0,Male,yes,yes,Sometimes,no,yes,no,Public_Transportation,1,Normal
38,1.64,59.8,2,3,2,2.0,0.0,Male,yes,yes,Sometimes,no,no,no,Public_Transportation,0,Normal
18,1.57,48.0,3,1,1,1.0,0.0,Male,yes,yes,Sometimes,no,no,no,Public_Transportation,1,Underweight
22,1.84,84.0,3,3,2,3.0,0.0,Male,yes,yes,Frequently,no,yes,Sometimes,Public_Transportation,2,Overweight
26,1.91,84.0,3,3,2,2.0,2.0,Male,yes,yes,Frequently,yes,no,Frequently,Public_Transportation,2,Overweight
18,1.58,48.0,2,3,2,1.0,0.0,Male,yes,yes,Sometimes,no,no,no,Public_Transportation,1,Underweight
23,1.68,67.0,2,3,1,0.0,0.0,Male,yes,yes,Frequently,no,no,Sometimes,Public_Transportation,1,Normal
22,1.68,52.0,3,3,2,0.0,1.0,Male,yes,yes,Frequently,no,no,no,Public_Transportation,1,Normal
23,1.48,60.0,2,1,1,0.0,0.0,Male,yes,yes,Sometimes,yes,no,Sometimes,Public_Transportation,1,Normal
31,1.62,68.0,3,3,2,1.0,0.0,Male,yes,yes,Sometimes,no,no,Sometimes,Public_Transportation,0,Normal
39,1.78,96.0,2,3,3,1.0,0.0,Male,yes,yes,Sometimes,no,no,Frequently,Public_Transportation,0,Obese
25,1.78,98.0,2,3,3,3.0,2.0,Male,yes,yes,Sometimes,no,no,no,Public_Transportation,2,Obese
35,1.78,105.0,3,1,3,3.0,1.0,Male,yes,yes,no,no,no,Frequently,Public_Transportation,0,Obese
33,1.63,62.0,2,3,2,1.0,1.0,Male,yes,yes,Sometimes,no,no,no,Public_Transportation,0,Normal
20,1.6,56.0,2,3,2,1.0,0.0,Male,yes,yes,Sometimes,no,no,Sometimes,Public_Transportation,1,Normal
26,1.75,80.0,3,1,2,2.0,0.0,Male,yes,yes,Frequently,yes,yes,Sometimes,Public_Transportation,0,Overweight
20,1.83,85.0,3,3,3,3.0,0.0,Male,yes,yes,Sometimes,no,yes,Sometimes,Public_Transportation,2,Overweight
20,1.78,68.0,2,1,3,2.0,1.0,Male,yes,yes,Frequently,no,yes,no,Public_Transportation,2,Normal
23,1.6,83.0,3,3,3,3.0,0.0,Male,yes,yes,Frequently,no,no,no,Public_Transportation,2,Overweight
19,1.8,85.0,3,3,2,1.0,1.0,Male,yes,yes,Sometimes,no,no,Sometimes,Walking,2,Overweight
22,1.75,74.0,2,3,2,1.0,2.0,Male,yes,yes,Sometimes,no,no,Sometimes,Bike,2,Overweight
41,1.75,118.0,2,3,2,0.0,0.0,Male,yes,yes,Sometimes,no,no,Sometimes,Bike,0,Obese
18,1.59,40.0,2,1,1,0.0,2.0,Male,yes,yes,Frequently,no,no,no,Public_Transportation,1,Underweight
23,1.66,60.0,2,1,1,1.0,1.0,Male,yes,yes,Sometimes,no,no,Sometimes,Public_Transportation,1,Normal
23,1.63,83.0,3,1,3,1.0,2.0,Male,yes,yes,Sometimes,yes,no,Sometimes,Public_Transportation,2,Overweight
41,1.54,80.0,2,3,1,0.0,0.0,Male,yes,yes,Sometimes,no,no,Sometimes,Public_Transportation,0,Overweight
26,1.56,102.0,3,3,1,0.0,1.0,Male,yes,yes,Sometimes,yes,no,Sometimes,Public_Transportation,0,Obese
29,1.69,90.0,2,3,3,1.0,0.0,Male,yes,yes,Sometimes,no,no,Sometimes,Public_Transportation,0,Obese
27,1.83,71.0,2,3,2,3.0,2.0,Male,yes,yes,Sometimes,no,no,no,Public_Transportation,2,Overweight
23,1.6,78.0,2,1,2,1.0,0.0,Male,yes,yes,Sometimes,yes,no,Frequently,Public_Transportation,1,Overweight
19,1.75,100.0,2,3,2,2.0,0.0,Male,yes,yes,Frequently,no,no,no,Public_Transportation,2,Obese
30,1.75,73.0,2,3,2,1.0,0.0,Male,yes,yes,no,no,yes,Sometimes,Walking,0,Overweight
22,1.69,65.0,2,3,2,1.0,1.0,Male,yes,yes,Sometimes,no,no,Sometimes,Public_Transportation,1,Normal
20,1.8,114.0,2,3,2,0.0,1.0,Male,yes,yes,Frequently,no,no,no,Public_Transportation,2,Obese
21,1.63,51.0,2,1,1,1.0,1.0,Male,yes,yes,Sometimes,no,no,no,Public_Transportation,1,Normal
24,1.5,63.0,2,1,2,0.0,0.0,Male,yes,yes,Sometimes,no,no,no,Public_Transportation,1,Normal
21,1.8,62.0,3,3,2,1.0,0.0,Male,yes,yes,Sometimes,no,no,no,Public_Transportation,2,Normal
21,1.65,53.0,2,3,2,1.0,0.0,Male,yes,yes,Sometimes,no,no,Sometimes,Public_Transportation,1,Normal
21,1.68,70.0,3,3,3,0.0,2.0,Male,yes,yes,Sometimes,no,no,Sometimes,Public_Transportation,2,Overweight
23,1.6,63.0,3,3,2,3.0,0.0,Male,yes,yes,Frequently,no,no,Sometimes,Walking,2,Normal
21,1.71,75.0,2,3,3,3.0,1.0,Male,yes,yes,Frequently,no,yes,Frequently,Public_Transportation,2,Overweight
21,1.5,42.3,1,1,2,3.0,0.0,Male,yes,yes,Sometimes,no,no,no,Public_Transportation,1,Underweight
21,1.6,68.0,2,3,3,1.0,0.0,Male,yes,yes,Sometimes,no,no,Sometimes,Public_Transportation,1,Normal
21,1.75,78.0,2,3,2,0.0,2.0,Male,yes,yes,Frequently,no,yes,Frequently,Public_Transportation,2,Overweight
23,1.72,82.0,2,1,1,1.0,1.0,Male,yes,yes,Sometimes,no,no,Sometimes,Public_Transportation,1,Overweight
21,1.72,66.5,3,4,3,0.0,2.0,Male,yes,yes,Sometimes,no,no,no,Public_Transportation,2,Normal
22,1.61,63.0,3,3,3,1.0,0.0,Male,yes,yes,Frequently,no,no,no,Public_Transportation,1,Normal
23,1.63,82.0,2,1,2,0.0,0.0,Male,yes,yes,Sometimes,no,no,no,Public_Transportation,0,Overweight
25,1.83,121.0,3,3,3,2.0,0.0,Male,yes,yes,Sometimes,no,no,Sometimes,Walking,2,Obese
20,1.6,50.0,2,3,1,0.0,1.0,Male,yes,yes,Sometimes,no,no,no,Public_Transportation,1,Normal
24,1.62,58.0,3,3,2,1.0,1.0,Male,yes,yes,Sometimes,no,no,Sometimes,Public_Transportation,1,Normal
40,1.68,80.0,3,3,3,0.0,0.0,Male,yes,yes,Sometimes,no,no,no,Public_Transportation,0,Overweight
32,1.75,120.0,3,3,3,0.0,2.0,Male,yes,yes,Sometimes,no,no,no,Public_Transportation,0,Obese
20,1.9,91.0,3,4,3,2.0,0.0,Male,yes,yes,Sometimes,no,no,Sometimes,Walking,2,Obese
21,1.63,66.0,3,1,3,0.0,0.0,Male,yes,yes,Sometimes,yes,no,Sometimes,Public_Transportation,1,Normal
